HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0305.69.50,03056950,,,,"Fish, nesoi, in brine or salted but not dried or smoked, in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.69.60,03056960,,,,"Fish, nesoi, in brine or salted but not dried or smoked, other than in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.71.00,03057100,,,,"Dried shark fins, whether or not salted but not smoked.",0.1,0.25
0305.72.00,03057200,,,,"Fish heads, tails, and maws, whether or not salted but not smoked.",0.1,0.25
0305.79.00,03057900,,,,"Edible fish offal, other fish heads tails and maws or shark fins, whether or not salted but not smoked.",0.1,0.25
0306.11.00,03061100,,,,"Rock lobster and other sea crawfish, cooked in shell or uncooked, dried, salted or in brine, frozen.",0.1,0.25
0306.12.00,03061200,,,,"Lobsters excluding rock lobster, cooked in shell or uncooked, dried, salted or in brine, frozen.",0.1,0.25
0306.14.20,03061420,,,,"Crabmeat, frozen.",0.1,0.25
0306.14.40,03061440,,,,"Crabs, cooked in shell or uncooked (whether in shell or not), dried, salted or in brine, frozen.",0.1,0.25
0306.15.00,03061500,,,,"Norway lobsters, cooked in shell or uncooked, dried, salted or in brine, frozen.",0.1,0.25
0306.16.00,03061600,,,,"Cold-water shrimps and prawns, cooked in shell or uncooked, dried, salted or in brine, frozen.",0.1,0.25
